name,bizid,url,categories,type,store_banner,phone,address,opening_hours
Lucid Records &amp; Clothing,QgdEM_DivtgLqYNI8zjrEA,https://www.yelp.com/biz/lucid-records-and-clothing-nanaimo?osq=Shopping,"[{'title': 'Music &amp; DVDs', 'url': '/search?find_desc=Music+%26+DVDs&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/ZENDAof52sCYbXTFsPnPqA/l.jpg,(250) 753-3571,"{'@type': 'PostalAddress', 'streetAddress': '35 Commercial Street', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9R 5G3', 'addressCountry': 'CA'}",{}
Woodgrove Centre,jiBpyMgZ04JoswUfSocCuQ,https://www.yelp.com/biz/woodgrove-centre-nanaimo?osq=Shopping,"[{'title': 'Shopping Centers', 'url': '/search?find_desc=Shopping+Centers&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/xPhk4dmo8QctQw7lwNh_3g/l.jpg,(250) 390-2721,"{'@type': 'PostalAddress', 'streetAddress': '6631 Island Highway N', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9T 4T7', 'addressCountry': 'CA'}",{}
Catwalk,nF0dBl3bZFsD3E-Jw0SbEw,https://www.yelp.com/biz/catwalk-nanaimo?osq=Shopping,"[{'title': ""Women's Clothing"", 'url': '/search?find_desc=Women%27s+Clothing&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/SSoOV6IbkfJ5P3E0h5gsWQ/l.jpg,(250) 716-1300,"{'@type': 'PostalAddress', 'streetAddress': '13 Commercial Street', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9R 5G3', 'addressCountry': 'CA'}",{}

Cayo Fashions,RkqcwaDEdaPkIWYsEmC1tQ,https://www.yelp.com/biz/cayo-fashions-nanaimo?osq=Shopping,"[{'title': ""Women's Clothing"", 'url': '/search?find_desc=Women%27s+Clothing&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/ltGSAYNjTrDywEzvoHFEWw/l.jpg,(250) 591-1444,"{'@type': 'PostalAddress', 'streetAddress': '45 Commercial Street', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9R 5G3', 'addressCountry': 'CA'}",{}

Lobelia’s Lair,mPJZlMx5QdN1siU2AGf-Hg,https://www.yelp.com/biz/lobelias-lair-nanaimo-2?osq=Shopping,"[{'title': 'Hobby Shops', 'url': '/search?find_desc=Hobby+Shops&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/yLPFctDVPWSOUU5hwOl_mQ/l.jpg,(250) 753-5440,"{'@type': 'PostalAddress', 'streetAddress': '321 Wesley Street\nSuite 8', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9R 3A7', 'addressCountry': 'CA'}",{}



